x;y
120;116
120;115
120;112
118;110
117;109
115;107
111;104
110;102
107;101
104;99
97;96
93;96
89;96
86;96
82;96
80;96
78;95
76;93
75;90
75;89
75;87
75;85
75;81
73;79
71;77
69;75
66;74
64;74
62;74
60;74
56;72
55;71
53;68
52;66
52;62
52;60
52;58
52;55
52;50
52;47
52;45
52;44
52;41
51;39
49;38
47;37
42;37
40;37
38;37
35;37
31;35
29;34
27;32
25;31
25;28
25;26
25;24
25;21
23;17
22;15
20;15
18;15
15;15
13;15
11;15
9;14
6;10
4;8
3;7
3;5
3;2
3;0
3;-1
2;-3
0;-5
-2;-5
-4;-5
-5;-5
-9;-5
-11;-6
-13;-7
-15;-9
-19;-12
-19;-13
-19;-15
-19;-17
-19;-20
-19;-22
-21;-24
-23;-25
-26;-25
-28;-25
-30;-25
-31;-25
-35;-27
-37;-29
-38;-30
-40;-32
-40;-36
-40;-38
-40;-42
-40;-44
-40;-46
-40;-48
-40;-51
-40;-51
-40;-54
-41;-56
-43;-57
-44;-58
-48;-58
-49;-58
-51;-58
-54;-58
-59;-58
-61;-58
-63;-58
-66;-58
-69;-58
-71;-60
-72;-61
-74;-63
-77;-66
-77;-68
-77;-69
-77;-71
-77;-74
-77;-75
-77;-77
-77;-77
-77;-77
-77;-77
-77;-77
-78;-77
-81;-77
-82;-77
-84;-77
-85;-77
-86;-78
-86;-80
-86;-81
-86;-83
-86;-87
-86;-88
-86;-90
-86;-93
-86;-95
-87;-97
-90;-98
-90;-98
-93;-98
-95;-98
-97;-98
-98;-98
-102;-98
-104;-98
-105;-98
-107;-98
-107;-100
-107;-102
-107;-104
-107;-106
-107;-111
-107;-112
-107;-114
-107;-117
-107;-118
-108;-120
-110;-120
-112;-120
-115;-120
-117;-120
