x;y
132;-92
132;-92
130;-92
129;-92
125;-92
124;-92
122;-92
120;-92
118;-92
114;-92
112;-92
110;-92
109;-91
109;-88
109;-87
109;-85
109;-84
109;-83
109;-83
109;-83
109;-83
109;-83
109;-83
107;-83
104;-83
103;-83
101;-83
100;-83
98;-83
96;-83
93;-83
91;-83
89;-77
89;-73
89;-70
89;-67
89;-64
89;-63
89;-63
89;-63
89;-63
89;-63
89;-63
89;-63
89;-63
89;-63
89;-63
89;-63
87;-63
83;-63
81;-63
79;-63
77;-63
74;-63
70;-63
67;-63
63;-61
63;-60
63;-58
63;-56
63;-55
63;-53
62;-53
60;-53
57;-53
56;-53
54;-53
52;-53
50;-53
48;-53
45;-53
43;-50
40;-44
38;-40
37;-37
35;-34
34;-26
34;-23
34;-19
34;-15
34;-12
34;-10
34;-10
34;-10
34;-10
34;-10
34;-10
34;-10
34;-10
34;-10
34;-10
33;-10
31;-10
27;-10
25;-10
23;-10
21;-10
19;-10
15;-10
13;-10
11;-10
8;-4
6;-1
5;2
3;5
0;8
-1;8
-2;8
-4;8
-5;8
-7;8
-9;8
-9;8
-9;8
-9;8
-9;12
-9;16
-12;26
-14;31
-15;35
-16;38
-19;38
-21;38
-22;38
-24;38
-25;38
-28;38
-28;38
-28;38
-28;38
-28;38
-28;43
-28;48
-28;57
-28;62
-28;67
-30;67
-32;67
-34;67
-36;67
-38;67
-40;67
-43;67
-45;67
-47;67
-50;67
-52;67
-54;67
-57;67
-59;67
-60;67
-63;67
-65;67
-71;67
-74;67
-77;67
-79;68
-83;72
-85;74
-87;76
-89;78
-93;79
-94;79
-96;79
-97;79
-100;79
-100;79
-100;79
-100;79
-100;79
-100;79
-100;79
-100;84
-100;89
-100;98
-100;103
-100;108
-100;112
-100;114
-100;116
-100;118
-100;120
-100;120
