time;x;y;fx;fy
63;120;-116;26;168
126;120;-114;26;168
189;120;-112;26;168
252;120;-109;26;168
315;120;-107;37;168
378;120;-102;37;143
441;120;-100;37;143
504;120;-98;37;143
567;120;-96;37;143
630;120;-92;32;202
693;120;-89;32;202
756;120;-85;32;202
819;120;-82;32;202
882;120;-76;0;202
945;120;-72;0;265
1008;120;-68;0;265
1071;120;-63;0;265
1134;120;-54;0;265
1197;120;-49;0;265
1260;120;-44;0;265
1323;120;-39;0;277
1386;120;-30;0;277
1449;120;-25;0;277
1512;120;-20;0;277
1575;120;-16;0;277
1638;120;-8;0;284
1701;120;-5;0;284
1764;120;-1;0;284
1827;120;2;0;284
1890;120;9;0;222
1953;120;12;0;222
2016;120;15;0;222
2079;120;19;0;222
2142;120;25;0;222
2205;120;28;0;193
2268;120;31;0;193
2331;120;34;0;193
2394;120;40;0;193
2457;120;43;0;193
2520;120;46;0;186
2583;120;49;0;186
2646;120;54;0;186
2709;120;56;0;186
2772;120;59;0;186
2835;120;62;0;191
2898;120;68;0;191
2961;120;70;0;191
3024;120;73;0;191
3087;120;79;0;163
3150;120;82;0;163
3213;120;84;0;163
3276;120;87;0;163
3339;120;89;0;163
3402;120;94;0;163
3465;120;96;0;148
3528;120;98;0;148
3591;120;100;0;148
3654;120;104;0;148
3717;120;106;0;148
3780;120;108;0;114
3843;120;110;0;114
3906;120;112;0;114
3969;120;114;0;114
4032;120;115;0;114
4095;120;116;0;67
4158;120;116;0;67
4221;120;116;0;67
4284;120;116;0;67
4347;120;116;0;67
4410;120;116;30;0
4473;120;116;30;0
4536;120;116;30;0
4599;120;116;30;0
4662;120;116;0;0
4725;120;116;0;0
4788;120;116;0;0
4851;120;116;0;0
4914;120;116;0;0
4977;120;116;0;0
5040;120;116;0;0
5103;120;116;0;0
5166;120;116;0;0
5229;120;116;0;0
5292;120;116;-49;0
5355;120;116;-49;0
5418;120;116;-49;-57
5481;120;116;-49;-57
5544;120;116;-49;-57
5607;120;116;-49;-57
5670;120;116;-72;-57
5733;120;116;-72;-57
5796;120;116;-72;-71
5859;120;116;-72;-71
5922;120;116;-90;-71
5985;120;116;-90;-71
6048;120;116;-90;-71
6111;120;115;-90;-114
6174;120;112;-90;-114
6237;118;110;-130;-114
6300;117;109;-130;-114
6363;115;107;-130;-114
6426;111;104;-130;-126
6489;110;102;-130;-126
6552;107;101;-223;-126
6615;104;99;-223;-126
6678;97;96;-223;-56
6741;93;96;-223;-56
6804;89;96;-223;-56
6867;86;96;-141;-56
6930;82;96;-141;-56
6993;80;96;-141;-119
7056;78;95;-141;-119
7119;76;93;-141;-119
7182;75;90;-96;-119
7245;75;89;-96;-119
7308;75;87;-96;-157
7371;75;85;-96;-157
7434;75;81;-129;-157
7497;73;79;-129;-157
7560;71;77;-129;-157
7623;69;75;-129;-102
7686;66;74;-129;-102
7749;64;74;-129;-102
7812;62;74;-135;-102
7875;60;74;-135;-102
7938;56;72;-135;-143
8001;55;71;-135;-143
8064;53;68;-135;-143
8127;52;66;-72;-143
8190;52;62;-72;-143
8253;52;60;-72;-178
8316;52;58;-72;-178
8379;52;55;-72;-178
8442;52;50;-106;-178
8505;52;47;-106;-178
8568;52;45;-106;-116
8631;52;44;-106;-116
8694;52;41;-106;-116
8757;51;39;-157;-116
8820;49;38;-157;-116
8883;47;37;-157;-88
8946;42;37;-157;-88
9009;40;37;-157;-88
9072;38;37;-149;-88
9135;35;37;-149;-88
9198;31;35;-149;-115
9261;29;34;-149;-115
9324;27;32;-149;-115
9387;25;31;-104;-115
9450;25;28;-104;-145
9513;25;26;-104;-145
9576;25;24;-104;-145
9639;25;21;-104;-145
9702;23;17;-124;-145
9765;22;15;-124;-102
9828;20;15;-124;-102
9891;18;15;-124;-102
9954;15;15;-124;-102
10017;13;15;-138;-102
10080;11;15;-138;-102
10143;9;14;-138;-120
10206;6;10;-138;-120
