x;y
-103;-112
-103;-112
-103;-112
-103;-112
-102;-112
-101;-112
-99;-112
-95;-112
-94;-112
-91;-112
-88;-112
-80;-112
-77;-112
-73;-112
-69;-112
-66;-112
-58;-112
-55;-112
-51;-112
-44;-112
-40;-112
-36;-112
-29;-112
-25;-112
-22;-112
-18;-112
-14;-112
-11;-112
-4;-112
0;-112
3;-112
10;-112
14;-112
17;-112
21;-112
25;-112
32;-112
36;-112
39;-112
43;-112
50;-112
54;-112
57;-112
61;-112
68;-112
72;-112
76;-112
83;-112
87;-112
90;-112
94;-112
101;-112
105;-112
108;-112
112;-112
115;-112
122;-112
125;-112
128;-112
132;-112
132;-109
132;-103
132;-99
132;-96
132;-93
132;-92
