x;y
-103;127
-103;126
-103;124
-103;119
-103;119
-103;116
-103;111
-103;109
-103;106
-103;101
-103;98
-103;93
-103;91
-103;88
-103;86
-103;83
-103;81
-103;77
-103;71
-103;68
-103;61
-103;58
-103;54
-103;51
-103;44
-103;41
-103;38
-103;34
-103;31
-103;24
-103;21
-103;18
-103;11
-103;8
-103;4
-103;1
-103;-5
-103;-8
-103;-11
-103;-15
-103;-18
-103;-21
-103;-28
-103;-31
-103;-35
-103;-41
-103;-43
-103;-45
-103;-49
-103;-49
-103;-53
-103;-53
-103;-53
-103;-53
-103;-53
-103;-53
-103;-53
-103;-53
-103;-53
-103;-53
-103;-53
-103;-59
-103;-62
-103;-66
-103;-69
-103;-76
-103;-80
-103;-83
-103;-90
-103;-94
-103;-96
-103;-96
-103;-96
-103;-96
-103;-96
-103;-96
-103;-96
-103;-96
-103;-96
-103;-96
-103;-96
-103;-96
-103;-96
-103;-96
-103;-96
-103;-99
-103;-101
-103;-104
-103;-109
-103;-112
-103;-112
-103;-112
-103;-112
-103;-112
-103;-112
-103;-112
-103;-112
-103;-112
-103;-112
-103;-112
